Front,Back,Chapter
What legal forms can a UCITS take in Cyprus?,"Common funds (no legal personality) with unitholders; or Variable Capital Investment Companies (VCICs) with legal personality and shares.

Source: SALVUS Advanced Examination – Chapter 4 (UCITS).",Chapter 4 – UCITS
Can the UCITS depositary be the management company?,"No. The depositary cannot be the management company nor the internally managed VCIC; resignation requires at least 3 months’ notice and continuity until replacement.

Source: SALVUS Advanced Examination – Chapter 4 (UCITS).",Chapter 4 – UCITS
Key UCITS investment policy requirement for new issues?,"Transferable securities must be admitted to trading within 1 year of issue.

Source: SALVUS Advanced Examination – Chapter 4 (UCITS).",Chapter 4 – UCITS
What deposit maturities are eligible for UCITS?,"Deposits payable on demand or with a maturity of less than 12 months.

Source: SALVUS Advanced Examination – Chapter 4 (UCITS).",Chapter 4 – UCITS
Single issuer limits for non‑voting shares/debt/MMIs?,"<10% of UCITS assets in securities or money market instruments of a single issuer; and <25% of units in a single UCITS/CIU.

Source: SALVUS Advanced Examination – Chapter 4 (UCITS).",Chapter 4 – UCITS
Aggregate 5% rule (‘40% basket’) summary,"No more than 40% aggregate in issuers where the UCITS invests >5% individually (transferable securities/MMIs).

Source: SALVUS Advanced Examination – Chapter 4 (UCITS).",Chapter 4 – UCITS
Deposits with the same institution – limit?,"≤20% of assets (including OTC derivative exposures to that institution).

Source: SALVUS Advanced Examination – Chapter 4 (UCITS).",Chapter 4 – UCITS
When may the 10% issuer limit rise to 35%?,"If securities are issued or guaranteed by a Member State.

Source: SALVUS Advanced Examination – Chapter 4 (UCITS).",Chapter 4 – UCITS
When may bond exposure rise to 25%?,"For bonds issued by a regulated and supervised credit institution in a Member State.

Source: SALVUS Advanced Examination – Chapter 4 (UCITS).",Chapter 4 – UCITS
Index‑tracking UCITS single‑issuer limit?,"Up to 20% if the objective is to replicate the composition of a stock or debt index.

Source: SALVUS Advanced Examination – Chapter 4 (UCITS).",Chapter 4 – UCITS
OTC derivative counterparty limits (credit institution vs. other)?,"20% if the counterparty is a credit institution; 5% if it is not.

Source: SALVUS Advanced Examination – Chapter 4 (UCITS).",Chapter 4 – UCITS
Temporary borrowing limits for UCITS and management companies?,"Internally managed VCICs ≤10% of UCITS NAV (or for immovable property), and ≤15% if both; management companies ≤15% of own funds in immovable property.

Source: SALVUS Advanced Examination – Chapter 4 (UCITS).",Chapter 4 – UCITS
Valuation basis for assets?,"Closing price, or the previous day’s close where no daily transaction occurred.

Source: SALVUS Advanced Examination – Chapter 4 (UCITS).",Chapter 4 – UCITS
What must the UCITS prospectus include?,"Permitted assets, investment policy, statements (e.g., high NAV volatility), and remuneration policy; submission to CySEC 15 days before publication.

Source: SALVUS Advanced Examination – Chapter 4 (UCITS).",Chapter 4 – UCITS
Key KIID content and principles?,"Fair, clear, not misleading; identification, competent authority, objectives/policy, past‑performance or scenarios, costs, risk profile, remuneration, and no‑guarantee statement.

Source: SALVUS Advanced Examination – Chapter 4 (UCITS).",Chapter 4 – UCITS
Feeder UCITS minimum investment and residual assets?,"Invest at least 85% in the master; may hold up to 15% in ancillary liquid assets and derivatives.

Source: SALVUS Advanced Examination – Chapter 4 (UCITS).",Chapter 4 – UCITS
Master UCITS conditions (re feeder relationships)?,"Has at least one feeder, is not itself a feeder, holds no feeder units; may raise capital from others if it has two feeders; must provide documents/info to the feeder.

Source: SALVUS Advanced Examination – Chapter 4 (UCITS).",Chapter 4 – UCITS
Charges between commonly managed UCITS?,"No charges/fees apply where UCITS/companies are commonly managed.

Source: SALVUS Advanced Examination – Chapter 4 (UCITS).",Chapter 4 – UCITS
Newly authorised UCITS deviation window from limits?,"Up to 6 months from authorisation, subject to risk‑spreading.

Source: SALVUS Advanced Examination – Chapter 4 (UCITS).",Chapter 4 – UCITS
Feeder–Master agreement transparency duty?,"Agreement must be available to feeder and master unitholders; until effective, the feeder may invest max 20% in the master.

Source: SALVUS Advanced Examination – Chapter 4 (UCITS).",Chapter 4 – UCITS
Legal forms for AIFs?,"Mutual company, Investment Company, Limited Partnership.

Source: SALVUS Advanced Examination – Chapter 5 (AIF/AIFM).",Chapter 5 – AIF & AIFM
AIF initial capital and minimum assets?,"Initial capital €125,000; minimum assets €500,000.

Source: SALVUS Advanced Examination – Chapter 5 (AIF/AIFM).",Chapter 5 – AIF & AIFM
Minimum directors for an AIF and independence with depositary?,"At least 4 natural persons (2 executive directors). AIF directors cannot be the same as depositary directors.

Source: SALVUS Advanced Examination – Chapter 5 (AIF/AIFM).",Chapter 5 – AIF & AIFM
What is an Umbrella AIF?,"An AIF with multiple investment compartments; minimum assets apply per compartment.

Source: SALVUS Advanced Examination – Chapter 5 (AIF/AIFM).",Chapter 5 – AIF & AIFM
Can AIFs invest in non‑securities?,"Yes. AIFs can invest in securities and non‑securities; CySEC may restrict based on asset/investor nature.

Source: SALVUS Advanced Examination – Chapter 5 (AIF/AIFM).",Chapter 5 – AIF & AIFM
Who is ultimately responsible for valuation?,"The AIFM, even if an independent valuer is appointed by the depositary; notify CySEC of the appointment.

Source: SALVUS Advanced Examination – Chapter 5 (AIF/AIFM).",Chapter 5 – AIF & AIFM
Reporting of transactions in AIF reports?,"All transactions must be included in the annual and half‑yearly reports (at least annually).

Source: SALVUS Advanced Examination – Chapter 5 (AIF/AIFM).",Chapter 5 – AIF & AIFM
AIFM scope thresholds under Law 133(I)/2019?,"€100m (including leverage) or €500m (no leverage, closed‑ended for ≥5 years).

Source: SALVUS Advanced Examination – Chapter 5 (AIF/AIFM).",Chapter 5 – AIF & AIFM
AIFM authorisation minimum functions?,"At least portfolio management and risk management.

Source: SALVUS Advanced Examination – Chapter 5 (AIF/AIFM).",Chapter 5 – AIF & AIFM
AIFM initial capital (internally vs externally managed)?,"Internally managed: €300,000; externally managed: €125,000 plus 0.02% of portfolio >€250m (max €10m increase).

Source: SALVUS Advanced Examination – Chapter 5 (AIF/AIFM).",Chapter 5 – AIF & AIFM
