Front,Back,Chapter
What legal forms can a UCITS take in Cyprus?,Common funds (no legal personality) with unitholders; or Variable Capital Investment Companies (VCICs) with legal personality and shares.,Chapter 4 – UCITS
Can the UCITS depositary be the management company?,No. The depositary cannot be the management company nor the internally managed VCIC; resignation requires at least 3 months’ notice and continuity until replacement.,Chapter 4 – UCITS
Key UCITS investment policy requirement for new issues?,Transferable securities must be admitted to trading within 1 year of issue.,Chapter 4 – UCITS
What deposit maturities are eligible for UCITS?,Deposits payable on demand or with a maturity of less than 12 months.,Chapter 4 – UCITS
Single issuer limits for non‑voting shares/debt/MMIs?,<10% of UCITS assets in securities or money market instruments of a single issuer; and <25% of units in a single UCITS/CIU.,Chapter 4 – UCITS
Aggregate 5% rule (‘40% basket’) summary,No more than 40% aggregate in issuers where the UCITS invests >5% individually (transferable securities/MMIs).,Chapter 4 – UCITS
Deposits with the same institution – limit?,≤20% of assets (including OTC derivative exposures to that institution).,Chapter 4 – UCITS
When may the 10% issuer limit rise to 35%?,If securities are issued or guaranteed by a Member State.,Chapter 4 – UCITS
When may bond exposure rise to 25%?,For bonds issued by a regulated and supervised credit institution in a Member State.,Chapter 4 – UCITS
Index‑tracking UCITS single‑issuer limit?,Up to 20% if the objective is to replicate the composition of a stock or debt index.,Chapter 4 – UCITS
OTC derivative counterparty limits (credit institution vs. other)?,20% if the counterparty is a credit institution; 5% if it is not.,Chapter 4 – UCITS
Temporary borrowing limits for UCITS and management companies?,"Internally managed VCICs ≤10% of UCITS NAV (or for immovable property), and ≤15% if both; management companies ≤15% of own funds in immovable property.",Chapter 4 – UCITS
Valuation basis for assets?,"Closing price, or the previous day’s close where no daily transaction occurred.",Chapter 4 – UCITS
What must the UCITS prospectus include?,"Permitted assets, investment policy, statements (e.g., high NAV volatility), and remuneration policy; submission to CySEC 15 days before publication.",Chapter 4 – UCITS
Key KIID content and principles?,"Fair, clear, not misleading; identification, competent authority, objectives/policy, past‑performance or scenarios, costs, risk profile, remuneration, and no‑guarantee statement.",Chapter 4 – UCITS
Feeder UCITS minimum investment and residual assets?,Invest at least 85% in the master; may hold up to 15% in ancillary liquid assets and derivatives.,Chapter 4 – UCITS
Master UCITS conditions (re feeder relationships)?,"Has at least one feeder, is not itself a feeder, holds no feeder units; may raise capital from others if it has two feeders; must provide documents/info to the feeder.",Chapter 4 – UCITS
Charges between commonly managed UCITS?,No charges/fees apply where UCITS/companies are commonly managed.,Chapter 4 – UCITS
Newly authorised UCITS deviation window from limits?,"Up to 6 months from authorisation, subject to risk‑spreading.",Chapter 4 – UCITS
Feeder–Master agreement transparency duty?,"Agreement must be available to feeder and master unitholders; until effective, the feeder may invest max 20% in the master.",Chapter 4 – UCITS
Legal forms for AIFs?,"Mutual company, Investment Company, Limited Partnership.",Chapter 5 – AIF & AIFM
AIF initial capital and minimum assets?,"Initial capital €125,000; minimum assets €500,000.",Chapter 5 – AIF & AIFM
Minimum directors for an AIF and independence with depositary?,At least 4 natural persons (2 executive directors). AIF directors cannot be the same as depositary directors.,Chapter 5 – AIF & AIFM
What is an Umbrella AIF?,An AIF with multiple investment compartments; minimum assets apply per compartment.,Chapter 5 – AIF & AIFM
Can AIFs invest in non‑securities?,Yes. AIFs can invest in securities and non‑securities; CySEC may restrict based on asset/investor nature.,Chapter 5 – AIF & AIFM
Who is ultimately responsible for valuation?,"The AIFM, even if an independent valuer is appointed by the depositary; notify CySEC of the appointment.",Chapter 5 – AIF & AIFM
Reporting of transactions in AIF reports?,All transactions must be included in the annual and half‑yearly reports (at least annually).,Chapter 5 – AIF & AIFM
AIFM scope thresholds under Law 133(I)/2019?,"€100m (including leverage) or €500m (no leverage, closed‑ended for ≥5 years).",Chapter 5 – AIF & AIFM
AIFM authorisation minimum functions?,At least portfolio management and risk management.,Chapter 5 – AIF & AIFM
AIFM initial capital (internally vs externally managed)?,"Internally managed: €300,000; externally managed: €125,000 plus 0.02% of portfolio >€250m (max €10m increase).",Chapter 5 – AIF & AIFM
AIFM decision time and ESMA info?,CySEC decision within 3 months; ESMA informed quarterly for active AIFMs.,Chapter 5 – AIF & AIFM
Material change notifications by AIFM?,Notify CySEC; CySEC decides within 1 month.,Chapter 5 – AIF & AIFM
Grounds for AIFM suspension/withdrawal?,"Chairman may suspend; set deadline (1 month) or fine up to €350,000; withdrawal for inactivity (12 months), no service (6 months), voluntary, violations, misleading info, capital breach.",Chapter 5 – AIF & AIFM
AIFM remuneration policy basics?,Guaranteed variable only in first year for new staff; fixed a high proportion; variable up to 50% in AIF shares with at least 40% deferred.,Chapter 5 – AIF & AIFM
Conflicts of interest examples?,"Between AIFM and AIF/investors, or between AIFs under management.",Chapter 5 – AIF & AIFM
Risk management review frequency?,At least annually; policies and systems reviewed.,Chapter 5 – AIF & AIFM
Liquidity management requirement?,Applies except for unleveraged closed‑ended AIFs.,Chapter 5 – AIF & AIFM
AIFM annual report timeline and contents?,"Within 6 months of year‑end; publish within 4 months; audited statements, income/expenditure, activities, remuneration paid.",Chapter 5 – AIF & AIFM
AIFM regulatory reporting to CySEC includes?,"Assets categories/percentages, liquidity, risk profile/systems, stress test results; may need annual EU AIF reports and quarterly AIF lists; leverage levels per AIF.",Chapter 5 – AIF & AIFM
Who nominates the independent valuer and who notifies CySEC?,Depositary nominates; AIFM notifies CySEC; AIFM remains responsible.,Chapter 5 – AIF & AIFM
When is CDD/EDD required?,"At business relationship start; for one or linked transactions ≥ €15,000; fund transfers > €1,000 if ML/TF suspicion; gaming: winnings or bet ≥ €2,000; traders in goods: cash ≥ €10,000; and whenever doubts about documents arise.",Chapter 7 – AML
"What are SDD, CDD, EDD?","Simplified, Customer, and Enhanced Due Diligence—applied per risk level (low/medium/high).",Chapter 7 – AML
Example SDD conditions for e-money/payment instruments?,Not reloadable or max monthly use ≤ €250 in the Republic; max stored ≤ €250; used only for goods/services; cannot be funded with anonymous e-money; issuer monitors transactions. Not applicable if cash redemption > €100.,Chapter 7 – AML
Is SDD an exemption from CDD?,No. SDD adjusts timing/quantity/quality/frequency of updates and monitoring; it does not exempt CDD.,Chapter 7 – AML
Low‑risk indicators examples?,"Listed public companies, public administrations, residents of low‑risk jurisdictions with effective AML/CFT.",Chapter 7 – AML
High‑risk indicators examples?,"Unusual circumstances, high‑risk jurisdictions, asset‑holding vehicles, nominee shareholders/bearer shares, cash‑intensive, excessively complex structures.",Chapter 7 – AML
Special EDD cases?,"High‑risk third countries, correspondent relationships with third‑country institutions, business with PEPs (incl. family/close associates).",Chapter 7 – AML
How long to apply enhanced monitoring for former PEPs?,At least 12 months after ceasing to be a PEP.,Chapter 7 – AML
Suspicious activity reporting flow?,Internal suspicious report → internal evaluation → Compliance Officer report to MOKAS via GoAML.,Chapter 7 – AML
Record‑keeping period?,5 years from end of relationship or after an occasional transaction.,Chapter 7 – AML
Employee AML training requirements?,Before starting work and at least annually thereafter.,Chapter 7 – AML
Transaction monitoring is based on what?,Risk assessment and risk management frameworks.,Chapter 7 – AML
Difference between ML and TF (high level)?,Key difference is the source of funds and motivation; both may use similar methods/structures/locations.,Chapter 7 – AML
What must AMLCO submit to CySEC?,Monthly prevention statement and an Annual AML report (approved by the BoD); AMLCO is first point of contact with MOKAS.,Chapter 7 – AML
Threshold for electronic funds transfer CDD?,"> €1,000 if suspicion of ML/TF exists.",Chapter 7 – AML
Gaming sector threshold for CDD?,"Collection of winnings or bet deposits ≥ €2,000.",Chapter 7 – AML
Cash transaction threshold for traders in goods?,"≥ €10,000 in cash triggers CDD/EDD as appropriate.",Chapter 7 – AML
Link between business model vulnerabilities and EDD?,EDD aims to address higher risk customers and situations identified by the firm’s risk assessment.,Chapter 7 – AML
When to re‑perform CDD updates?,"Per risk—at onboarding triggers, periodic reviews, and when circumstances change or doubts arise.",Chapter 7 – AML
Are SDD conditions applicable when cash redemption > €100?,No—SDD conditions do not apply if redemption in cash exceeds €100.,Chapter 7 – AML
MiFIR scope (entities)?,"CIFs, credit institutions, market operators, CCPs, and third‑country firms providing investment services in the EU (with/without a branch).",Chapter 8 – MiFIR
